area_name,mid_salary
Москва,94379.0
Киев,82890.0
Санкт-Петербург,80126.0
Новосибирск,75316.0
Екатеринбург,70291.0
Казань,63336.0
Краснодар,62285.0
Нижний Новгород,60409.0
Самара,58724.0
Ростов-на-Дону,55099.0
Пермь,54557.0
Воронеж,52799.0
Алматы,50965.0
Минск,40259.0
