published_at,mid_salary,year_count
2003,41305,1983
2004,42968,7833
2005,44939,16020
2006,41318,33321
2007,44449,53562
2008,48411,75070
2009,44812,52889
2010,44658,93494
2011,46449,142458
2012,47462,173896
2013,49086,234017
2014,48552,259569
2015,51448,284762
2016,54877,332451
2017,58684,391464
2018,63850,517667
2019,68078,535954
2020,71154,611879
2021,81591,943143
2022,89950,887538
2023,97109,683700
