published_at,mid_salary,year_count
2003,34032,13
2004,32474,57
2005,29616,177
2006,42468,410
2007,33781,728
2008,38346,845
2009,45000,814
2010,38433,1336
2011,45000,2063
2012,47407,2843
2013,45714,3750
2014,45597,4189
2015,51057,1789
2016,67852,3008
2017,65082,3636
2018,66719,5251
2019,71858,6281
2020,82674,9130
2021,83939,22047
2022,80402,24997
2023,77227,22445
