,0,1
0,Adobe Photoshop,50724
1,Графический дизайн,39755
2,Adobe Illustrator,37739
3,UX,26854
4,UI,26420
5,Web-дизайн,21456
6,Figma,20497
7,Дизайн,20289
8,CorelDRAW,17309
9,Креативность,15252
10,Веб-дизайн,14859
11,Дизайн интерфейсов,12606
12,Adobe InDesign,11294
13,HTML,9089
14,Проектирование пользовательских интерфейсов,8745
15,Web Design,8102
16,Графические редакторы,8052
17,CSS,7660
18,Английский язык,7459
19,JavaScript,6348
