area_name,mid_salary
Москва,96925.0
Киев,82543.0
Санкт-Петербург,78614.0
Екатеринбург,73148.0
Новосибирск,72534.0
Казань,62327.0
Краснодар,58336.0
Нижний Новгород,57937.0
Ташкент,50764.0
Ростов-на-Дону,50557.0
Алматы,49141.0
Воронеж,46528.0
Минск,42819.0
