area_name,mid_salary
Москва,36.70
Санкт-Петербург,13.25
Минск,5.86
Алматы,3.19
Новосибирск,2.57
Казань,2.22
Екатеринбург,1.97
Киев,1.65
Нижний Новгород,1.65
Краснодар,1.61
Воронеж,1.39
Ростов-на-Дону,1.37
Ташкент,1.22
