area_name,mid_salary
Москва,96925
Киев,82543
Санкт-Петербург,78614
Екатеринбург,73148
Новосибирск,72534
Казань,62327
Краснодар,58336
Нижний Новгород,57937
Ташкент,50764
Ростов-на-Дону,50557
Алматы,49141
Воронеж,46528
Минск,42819
