area_name,mid_salary
Москва,33.30
Санкт-Петербург,10.17
Минск,3.65
Новосибирск,2.40
Киев,2.22
Екатеринбург,2.19
Нижний Новгород,2.09
Алматы,2.00
Казань,1.97
Воронеж,1.66
Краснодар,1.47
Ростов-на-Дону,1.35
Самара,1.31
Пермь,1.02
