area_name,mid_salary
Москва,94379
Киев,82890
Санкт-Петербург,80126
Новосибирск,75316
Екатеринбург,70291
Казань,63336
Краснодар,62285
Нижний Новгород,60409
Самара,58724
Ростов-на-Дону,55099
Пермь,54557
Воронеж,52799
Алматы,50965
Минск,40259
